Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,Unnamed: 12,Unnamed: 13,Unnamed: 14,status
0,DK1_3,DK1_3,796.792032573152,load_DK1,0,0,0,0,,,0.5,,,,updated
1,DK1_1,DK1_1,960.761033078,load_DK1,0,0,0,0,,,0.5,,,,updated
2,DK1_2,DK1_2,812.228942135688,load_DK1,0,0,0,0,,,0.5,,,,updated
3,DK2_2,DK2_2,1407.75181150177,load_DK2,0,0,0,0,,,0.5,,,,updated
4,DK2_1,DK2_1,207.86807973186998,load_DK2,0,0,0,0,,,0.5,,,,updated
5,FI_12,FI_12,670.840611195134,load_FI,0,0,0,0,,,0.5,,,,updated
6,FI_3,FI_3,179.956052378062,load_FI,0,0,0,0,,,0.5,,,,updated
7,FI_7,FI_7,652.2906054168101,load_FI,0,0,0,0,,,0.5,,,,updated
8,FI_1,FI_1,565.7617853868541,load_FI,0,0,0,0,,,0.5,,,,updated
9,FI_8,FI_8,601.9545142357321,load_FI,0,0,0,0,,,0.5,,,,updated
10,FI_6,FI_6,693.4434505798661,load_FI,0,0,0,0,,,0.5,,,,updated
11,FI_9,FI_9,459.079406098792,load_FI,0,0,0,0,,,0.5,,,,updated
12,FI_4,FI_4,864.8737780857381,load_FI,0,0,0,0,,,0.5,,,,updated
13,FI_2,FI_2,83.87075281202341,load_FI,0,0,0,0,,,0.5,,,,updated
14,FI_13,FI_13,1116.7845436372,load_FI,0,0,0,0,,,0.5,,,,updated
15,FI_10,FI_10,1086.0470761772801,load_FI,0,0,0,0,,,0.5,,,,updated
16,FI_5,FI_5,652.5047772874279,load_FI,0,0,0,0,,,0.5,,,,updated
17,FI_14,FI_14,981.8109362066,load_FI,0,0,0,0,,,0.5,,,,updated
18,FI_11,FI_11,434.089851744644,load_FI,0,0,0,0,,,0.5,,,,updated
19,NO3_2,NO3_2,710.505516508425,load_NO3,0,0,0,0,,,0.5,,,,updated
20,NO2_1,NO2_1,1079.31746092338,load_NO2,0,0,0,0,,,0.5,,,,updated
21,NO1_4,NO1_4,1821.8682945027601,load_NO1,0,0,0,0,,,0.5,,,,updated
22,NO2_4,NO2_4,616.698500742576,load_NO2,0,0,0,0,,,0.5,,,,updated
23,NO4_2,NO4_2,371.55808383837,load_NO4,0,0,0,0,,,0.5,,,,updated
24,NO1_3,NO1_3,706.1359493015941,load_NO1,0,0,0,0,,,0.5,,,,updated
25,NO3_1,NO3_1,861.9369603149249,load_NO3,0,0,0,0,,,0.5,,,,updated
26,NO3_4,NO3_4,601.3809458712,load_NO3,0,0,0,0,,,0.5,,,,updated
27,NO2_5,NO2_5,695.782918600588,load_NO2,0,0,0,0,,,0.5,,,,updated
28,NO1_5,NO1_5,525.063808571876,load_NO1,0,0,0,0,,,0.5,,,,updated
29,NO3_5,NO3_5,409.98196089674997,load_NO3,0,0,0,0,,,0.5,,,,updated
30,NO1_1,NO1_1,231.878485968584,load_NO1,0,0,0,0,,,0.5,,,,updated
31,NO4_1,NO4_1,1181.39812255335,load_NO4,0,0,0,0,,,0.5,,,,updated
32,NO2_3,NO2_3,1145.2327705988398,load_NO2,0,0,0,0,,,0.5,,,,updated
33,NO5_1,NO5_1,605.797381577916,load_NO5,0,0,0,0,,,0.5,,,,updated
34,NO4_3,NO4_3,741.88014345549,load_NO4,0,0,0,0,,,0.5,,,,updated
35,NO2_2,NO2_2,569.3505256269669,load_NO2,0,0,0,0,,,0.5,,,,updated
36,NO3_3,NO3_3,650.5883951984999,load_NO3,0,0,0,0,,,0.5,,,,updated
37,NO5_2,NO5_2,1338.83380203804,load_NO5,0,0,0,0,,,0.5,,,,updated
38,NO1_2,NO1_2,706.45256791781,load_NO1,0,0,0,0,,,0.5,,,,updated
39,SE4_2,SE4_2,1102.5112182697599,load_SE4,0,0,0,0,,,0.5,,,,updated
40,SE2_3,SE2_3,360.38139552066394,load_SE2,0,0,0,0,,,0.5,,,,updated
41,SE4_1,SE4_1,1388.64150268456,load_SE4,0,0,0,0,,,0.5,,,,updated
42,SE3_1,SE3_1,635.1102025832421,load_SE3,0,0,0,0,,,0.5,,,,updated
43,SE3_5,SE3_5,588.67183346618,load_SE3,0,0,0,0,,,0.5,,,,updated
44,SE2_7,SE2_7,308.170912512088,load_SE2,0,0,0,0,,,0.5,,,,updated
45,SE3_3,SE3_3,2109.8860384797604,load_SE3,0,0,0,0,,,0.5,,,,updated
46,SE3_10,SE3_10,406.72842669032,load_SE3,0,0,0,0,,,0.5,,,,updated
47,SE2_6,SE2_6,168.49593917461598,load_SE2,0,0,0,0,,,0.5,,,,updated
48,SE3_2,SE3_2,469.955070792176,load_SE3,0,0,0,0,,,0.5,,,,updated
49,SE1_3,SE1_3,676.971122098572,load_SE1,0,0,0,0,,,0.5,,,,updated
50,SE3_9,SE3_9,821.41255746889,load_SE3,0,0,0,0,,,0.5,,,,updated
51,SE3_8,SE3_8,726.307931485578,load_SE3,0,0,0,0,,,0.5,,,,updated
52,SE3_6,SE3_6,2091.57893648966,load_SE3,0,0,0,0,,,0.5,,,,updated
53,SE1_1,SE1_1,554.495814391617,load_SE1,0,0,0,0,,,0.5,,,,updated
54,SE3_4,SE3_4,879.3969308430201,load_SE3,0,0,0,0,,,0.5,,,,updated
55,SE2_4,SE2_4,184.47824821108,load_SE2,0,0,0,0,,,0.5,,,,updated
56,SE3_7,SE3_7,811.073695758224,load_SE3,0,0,0,0,,,0.5,,,,updated
57,SE2_5,SE2_5,307.070460891728,load_SE2,0,0,0,0,,,0.5,,,,updated
58,SE2_2,SE2_2,394.247380684296,load_SE2,0,0,0,0,,,0.5,,,,updated
59,GB,GB,28221.410736345402,load_GB,0,0,0,0,,,0.5,,,,
60,DE,DE,52326.2260601522,load_DE,0,0,0,0,,,0.5,,,,
61,NL,NL,12465.1571331969,load_NL,0,0,0,0,,,0.5,,,,
62,EE,EE,904.924223595,load_EE,0,0,0,0,,,0.5,,,,
63,LT,LT,1337.596445328,load_LT,0,0,0,0,,,0.5,,,,
64,PL,PL,18961.372511305,load_PL,0,0,0,0,,,0.5,,,,
