,Link,node_from,node_to,capacity,resistance
0,Great Belt power link,DK2_1,DK1_2,600,0
1,HVDC KONTEK,DK2_2,DE,600,0
2,HVDC Baltic Cable,SE4_2,DE,600,0
3,NorNed,NL,NO2_4,700,0
4,Konti-Skan,SE3_7,DK1_1,415,0
5,Konti-Skan,SE3_7,DK1_1,300,0
6,HVDC Fenno-Skan,SE3_1,FI_10,800,0
7,HVDC Fenno-Skan,SE3_3,FI_10,500,0
8,HVDC Skagerrak,DK1_1,NO2_5,1632,0
9,x,DK1_hub,DK1_1,9000,0
10,North Sea Link,NO2_1,GB,1400,0
11,NordLink,NO2_4,DE,1400,0
12,HVDC Estlink,FI_13,EE,1000,0
13,HVDC NordBalt,SE3_10,LT,700,0
14,HVDC SwePol,SE4_1,PL,600,0
15,COBRA cable,DK1_3,NL,700,0
16,Viking Link,DK1_3,GB,1400,0
