,index,id,lat,lon,area,zone
0,1,DK1_3,55.44155131,9.296978058,DK,DK1
1,2,DK1_1,56.94056108,9.957443855,DK,DK1
2,3,DK1_2,55.6849042,10.280731,DK,DK1
3,4,DK2_2,55.50411891,12.42187578,DK,DK2
4,5,DK2_1,55.550388,11.318665,DK,DK2
5,6,FI_12,60.8161276,26.6912842,FI,FI
6,7,FI_3,66.2709794,25.3045352,FI,FI
7,8,FI_7,62.708883,27.675934,FI,FI
8,9,FI_1,67.47887033,26.76773033,FI,FI
9,10,FI_8,62.152786,25.45623767,FI,FI
10,11,FI_6,63.20608033,22.52746567,FI,FI
11,12,FI_9,61.427476,24.2427065,FI,FI
12,13,FI_4,64.73394729,26.336975,FI,FI
13,14,FI_2,66.33089,27.029114,FI,FI
14,15,FI_13,60.47822,25.06828317,FI,FI
15,16,FI_10,61.28499867,22.009964,FI,FI
16,17,FI_5,63.8230588,24.8304748,FI,FI
17,18,FI_14,60.4071488,23.7801818,FI,FI
18,19,FI_11,60.894381,27.917633,FI,FI
19,23,NO3_2,63.53992983,10.16601567,NO,NO3
20,24,NO2_1,59.5460186,7.5905916,NO,NO2
21,25,NO1_4,59.93336367,10.50407417,NO,NO1
22,26,NO2_4,58.813447,6.896667667,NO,NO2
23,27,NO4_2,67.443359,15.803833,NO,NO4
24,28,NO1_3,60.36932575,8.54187,NO,NO1
25,29,NO3_1,63.7411598,11.4625854,NO,NO3
26,30,NO3_4,61.84129675,6.290703,NO,NO3
27,31,NO2_5,58.4103145,8.4423065,NO,NO2
28,32,NO1_5,59.2327725,11.2946315,NO,NO1
29,33,NO3_5,61.6800625,9.2010495,NO,NO3
30,34,NO1_1,60.998248,10.511856,NO,NO1
31,35,NO4_1,68.15289,17.5551,NO,NO4
32,36,NO2_3,59.2965906,9.8168338,NO,NO2
33,37,NO5_1,60.89876611,7.13133094,NO,NO5
34,38,NO4_3,65.78325583,13.522339,NO,NO4
35,39,NO2_2,59.192733,5.873369429,NO,NO2
36,40,NO3_3,62.76674467,8.513031333,NO,NO3
37,41,NO5_2,60.28317627,5.797393733,NO,NO5
38,42,NO1_2,60.600397,11.224594,NO,NO1
39,43,SE4_2,55.7787455,13.17420983,SE,SE4
40,44,SE2_3,63.394336,16.89285275,SE,SE2
41,45,SE4_1,56.489904,14.884415,SE,SE4
42,46,SE3_1,60.76299938,16.87035208,SE,SE3
43,47,SE3_5,59.337392,12.9776,SE,SE3
44,48,SE2_7,62.43740043,16.88696743,SE,SE2
45,49,SE3_3,59.70205254,18.077686,SE,SE3
46,50,SE3_10,57.43682,16.659393,SE,SE3
47,51,SE2_6,62.7105985,15.96699706,SE,SE2
48,52,SE3_2,60.378758,15.3032685,SE,SE3
49,53,SE1_2,66.74278157,20.08045757,SE,SE1
50,54,SE2_1,65.50954663,15.72138992,SE,SE2
51,55,SE1_3,65.67851367,21.96578967,SE,SE1
52,56,SE3_9,57.40908983,12.66746517,SE,SE3
53,57,SE3_8,58.0303985,14.3598175,SE,SE3
54,58,SE3_6,58.91707313,15.56419388,SE,SE3
55,59,SE1_1,67.551535,19.01256,SE,SE1
56,60,SE3_4,59.424672,16.8511048,SE,SE3
57,61,SE2_4,63.347806,13.221588,SE,SE2
58,62,SE3_7,58.16902722,12.09666657,SE,SE3
59,63,SE2_5,62.7911688,14.8397826,SE,SE2
60,64,SE2_2,64.450728,19.03610233,SE,SE2
61,65,DK1_hub,56.25,6.4,DK,DK1
62,66,GB,54.086304,-0.388941,GB,GB
63,67,DE,52.338534,9.730698,DE,DE
64,68,NL,53.410419,6.777461,NL,NL
65,69,EE,59.38491763,24.55990908,EE,EE
66,70,LT,55.68194748,21.25762186,LT,LT
67,71,PL,54.50215261,16.89038356,PL,PL
68,72,NO2_6,58.1624,7.8292,NO,NO2
