const,hydro,csp,flexdemand
1,10,1.2,3.45
1,9.464606154,1.195555556,3.4
1,8.963550655,1.191111111,3.35
1,8.494798987,1.186666667,3.3
1,8.056418022,1.182222222,3.25
1,7.646572866,1.177777778,3.2
1,7.263523664,1.173333333,3.15
1,6.905622355,1.168888889,3.1
1,6.571309405,1.164444444,3.05
1,6.259110502,1.16,3
1,5.967633247,1.155555556,2.95
1,5.695563833,1.151111111,2.9
1,5.441663735,1.146666667,2.85
1,5.204766412,1.142222222,2.8
1,4.983774037,1.137777778,2.75
1,4.777654264,1.133333333,2.7
1,4.58543704,1.128888889,2.65
1,4.406211471,1.124444444,2.6
1,4.239122752,1.12,2.55
1,4.083369175,1.115555556,2.5
1,3.938199203,1.111111111,2.45
1,3.802908644,1.106666667,2.4
1,3.676837905,1.102222222,2.35
1,3.559369345,1.097777778,2.3
1,3.449924732,1.093333333,2.25
1,3.347962796,1.088888889,2.2
1,3.252976889,1.084444444,2.15
1,3.164492754,1.08,2.1
1,3.0820664,1.075555556,2.05
1,3.005282078,1.071111111,2
1,2.933750376,1.066666667,1.95
1,2.867106408,1.062222222,1.9
1,2.805008107,1.057777778,1.85
1,2.74713463,1.053333333,1.8
1,2.693184848,1.048888889,1.75
1,2.642875942,1.044444444,1.7
1,2.595942085,1.04,1.65
1,2.552133214,1.035555556,1.6
1,2.51121389,1.031111111,1.55
1,2.472962235,1.026666667,1.5
1,2.437168952,1.022222222,1.45
1,2.403636408,1.017777778,1.4
1,2.372177793,1.013333333,1.35
1,2.342616348,1.008888889,1.3
1,2.314784637,1.004444444,1.25
1,2.288523895,1,1.2
1,2.263683412,0.995555556,1.15
1,2.24011997,0.991111111,1.1
1,2.21769733,0.986666667,1.05
1,2.196285746,0.982222222,1
1,2.175761527,0.977777778,0.98
1,2.156006617,0.973333333,0.96
1,2.136908218,0.968888889,0.94
1,2.11835842,0.964444444,0.92
1,2.100253868,0.96,0.9
1,2.082495427,0.955555556,0.88
1,2.064987876,0.951111111,0.86
1,2.047639599,0.946666667,0.84
1,2.030362287,0.942222222,0.82
1,2.013070638,0.937777778,0.8
1,1.995682059,0.933333333,0.78
1,1.978116363,0.928888889,0.76
1,1.960295451,0.924444444,0.74
1,1.94214299,0.92,0.72
1,1.923584075,0.915555556,0.7
1,1.904544866,0.911111111,0.68
1,1.884952215,0.906666667,0.66
1,1.864733255,0.902222222,0.64
1,1.843814971,0.897777778,0.62
1,1.822123736,0.893333333,0.6
1,1.799584801,0.888888889,0.58
1,1.776121759,0.884444444,0.56
1,1.751655942,0.88,0.54
1,1.726105777,0.875555556,0.52
1,1.699386067,0.871111111,0.5
1,1.6714072,0.866666667,0.48
1,1.642074264,0.862222222,0.46
1,1.611286051,0.857777778,0.44
1,1.578933935,0.853333333,0.42
1,1.544900569,0.848888889,0.4
1,1.509058392,0.844444444,0.38
1,1.471267866,0.84,0.36
1,1.431375378,0.835555556,0.34
1,1.389210714,0.831111111,0.32
1,1.344583958,0.826666667,0.3
1,1.297281629,0.822222222,0.28
1,1.247061782,0.817777778,0.26
1,1.193647673,0.813333333,0.24
1,1.13671938,0.808888889,0.22
1,1.075902462,0.804444444,0.2
1,1.01075218,0.8,0.18
1,0.940730791,0.72,0.16
1,0.865173606,0.64,0.14
1,0.783235734,0.56,0.12
1,0.693803218,0.48,0.1
1,0.595332157,0.4,0.08
1,0.485522059,0.32,0.06
1,0.360525365,0.24,0.04
1,0.212324405,0.16,0.02
1,0.1212345,0.08,0
1,0.00001,0,-0.02
